session_date,xnas_close_utc,btc_candle_start,btc_close_at_xnas,matched
2024-12-13,2024-12-13 21:00:00+00:00,2024-12-13 20:00:00+00:00,101728.61,True
2024-12-16,2024-12-16 21:00:00+00:00,2024-12-16 20:00:00+00:00,105848.66,True
2024-12-17,2024-12-17 21:00:00+00:00,2024-12-17 20:00:00+00:00,106726.24,True
2024-12-18,2024-12-18 21:00:00+00:00,2024-12-18 20:00:00+00:00,100699.83,True
2024-12-19,2024-12-19 21:00:00+00:00,2024-12-19 20:00:00+00:00,96243.93,True
2024-12-20,2024-12-20 21:00:00+00:00,2024-12-20 20:00:00+00:00,96362.57,True
2024-12-23,2024-12-23 21:00:00+00:00,2024-12-23 20:00:00+00:00,92980.11,True
2024-12-24,2024-12-24 18:00:00+00:00,2024-12-24 17:00:00+00:00,98761.49,True
2024-12-26,2024-12-26 21:00:00+00:00,2024-12-26 20:00:00+00:00,95470.16,True
2024-12-27,2024-12-27 21:00:00+00:00,2024-12-27 20:00:00+00:00,94444.1,True
2024-12-30,2024-12-30 21:00:00+00:00,2024-12-30 20:00:00+00:00,94211.54,True
2024-12-31,2024-12-31 21:00:00+00:00,2024-12-31 20:00:00+00:00,93390.22,True
2025-01-02,2025-01-02 21:00:00+00:00,2025-01-02 20:00:00+00:00,97209.38,True
2025-01-03,2025-01-03 21:00:00+00:00,2025-01-03 20:00:00+00:00,98300.02,True
2025-01-06,2025-01-06 21:00:00+00:00,2025-01-06 20:00:00+00:00,102182.39,True
2025-01-07,2025-01-07 21:00:00+00:00,2025-01-07 20:00:00+00:00,96450.93,True
2025-01-08,2025-01-08 21:00:00+00:00,2025-01-08 20:00:00+00:00,93948.24,True
2025-01-10,2025-01-10 21:00:00+00:00,2025-01-10 20:00:00+00:00,94672.29,True
2025-01-13,2025-01-13 21:00:00+00:00,2025-01-13 20:00:00+00:00,93564.5,True
2025-01-14,2025-01-14 21:00:00+00:00,2025-01-14 20:00:00+00:00,96447.58,True
2025-01-15,2025-01-15 21:00:00+00:00,2025-01-15 20:00:00+00:00,99572.92,True
2025-01-16,2025-01-16 21:00:00+00:00,2025-01-16 20:00:00+00:00,100348.45,True
2025-01-17,2025-01-17 21:00:00+00:00,2025-01-17 20:00:00+00:00,104732.3,True
2025-01-21,2025-01-21 21:00:00+00:00,2025-01-21 20:00:00+00:00,106137.11,True
2025-01-22,2025-01-22 21:00:00+00:00,2025-01-22 20:00:00+00:00,104313.15,True
2025-01-23,2025-01-23 21:00:00+00:00,2025-01-23 20:00:00+00:00,103331.39,True
2025-01-24,2025-01-24 21:00:00+00:00,2025-01-24 20:00:00+00:00,104870.05,True
2025-01-27,2025-01-27 21:00:00+00:00,2025-01-27 20:00:00+00:00,101352.86,True
2025-01-28,2025-01-28 21:00:00+00:00,2025-01-28 20:00:00+00:00,101207.91,True
2025-01-29,2025-01-29 21:00:00+00:00,2025-01-29 20:00:00+00:00,104220.34,True
2025-01-30,2025-01-30 21:00:00+00:00,2025-01-30 20:00:00+00:00,104915.66,True
2025-01-31,2025-01-31 21:00:00+00:00,2025-01-31 20:00:00+00:00,101599.53,True
2025-02-03,2025-02-03 21:00:00+00:00,2025-02-03 20:00:00+00:00,101209.94,True
2025-02-04,2025-02-04 21:00:00+00:00,2025-02-04 20:00:00+00:00,98697.79,True
2025-02-05,2025-02-05 21:00:00+00:00,2025-02-05 20:00:00+00:00,97325.05,True
2025-02-06,2025-02-06 21:00:00+00:00,2025-02-06 20:00:00+00:00,96935.46,True
2025-02-07,2025-02-07 21:00:00+00:00,2025-02-07 20:00:00+00:00,95776.2,True
2025-02-10,2025-02-10 21:00:00+00:00,2025-02-10 20:00:00+00:00,97374.72,True
2025-02-11,2025-02-11 21:00:00+00:00,2025-02-11 20:00:00+00:00,95279.96,True
2025-02-12,2025-02-12 21:00:00+00:00,2025-02-12 20:00:00+00:00,97033.95,True
2025-02-13,2025-02-13 21:00:00+00:00,2025-02-13 20:00:00+00:00,96273.84,True
2025-02-14,2025-02-14 21:00:00+00:00,2025-02-14 20:00:00+00:00,97236.51,True
2025-02-18,2025-02-18 21:00:00+00:00,2025-02-18 20:00:00+00:00,94161.31,True
2025-02-19,2025-02-19 21:00:00+00:00,2025-02-19 20:00:00+00:00,96162.43,True
2025-02-20,2025-02-20 21:00:00+00:00,2025-02-20 20:00:00+00:00,98512.94,True
2025-02-21,2025-02-21 21:00:00+00:00,2025-02-21 20:00:00+00:00,94937.7,True
2025-02-24,2025-02-24 21:00:00+00:00,2025-02-24 20:00:00+00:00,93977.16,True
2025-02-25,2025-02-25 21:00:00+00:00,2025-02-25 20:00:00+00:00,88057.62,True
2025-02-26,2025-02-26 21:00:00+00:00,2025-02-26 20:00:00+00:00,84264.23,True
2025-02-27,2025-02-27 21:00:00+00:00,2025-02-27 20:00:00+00:00,83358.53,True
2025-02-28,2025-02-28 21:00:00+00:00,2025-02-28 20:00:00+00:00,84155.16,True
2025-03-03,2025-03-03 21:00:00+00:00,2025-03-03 20:00:00+00:00,85989.99,True
2025-03-04,2025-03-04 21:00:00+00:00,2025-03-04 20:00:00+00:00,86813.52,True
2025-03-05,2025-03-05 21:00:00+00:00,2025-03-05 20:00:00+00:00,90499.79,True
2025-03-06,2025-03-06 21:00:00+00:00,2025-03-06 20:00:00+00:00,89019.08,True
2025-03-07,2025-03-07 21:00:00+00:00,2025-03-07 20:00:00+00:00,86970.66,True
2025-03-10,2025-03-10 20:00:00+00:00,2025-03-10 19:00:00+00:00,79002.84,True
2025-03-11,2025-03-11 20:00:00+00:00,2025-03-11 19:00:00+00:00,83071.91,True
2025-03-12,2025-03-12 20:00:00+00:00,2025-03-12 19:00:00+00:00,82893.13,True
2025-03-13,2025-03-13 20:00:00+00:00,2025-03-13 19:00:00+00:00,80140.82,True
2025-03-14,2025-03-14 20:00:00+00:00,2025-03-14 19:00:00+00:00,84561.86,True
2025-03-17,2025-03-17 20:00:00+00:00,2025-03-17 19:00:00+00:00,84481.92,True
2025-03-18,2025-03-18 20:00:00+00:00,2025-03-18 19:00:00+00:00,82308.47,True
2025-03-19,2025-03-19 20:00:00+00:00,2025-03-19 19:00:00+00:00,85469.73,True
2025-03-20,2025-03-20 20:00:00+00:00,2025-03-20 19:00:00+00:00,84137.13,True
2025-03-21,2025-03-21 20:00:00+00:00,2025-03-21 19:00:00+00:00,83918.76,True
2025-03-24,2025-03-24 20:00:00+00:00,2025-03-24 19:00:00+00:00,88292.88,True
2025-03-25,2025-03-25 20:00:00+00:00,2025-03-25 19:00:00+00:00,88175.6,True
2025-03-26,2025-03-26 20:00:00+00:00,2025-03-26 19:00:00+00:00,86567.47,True
2025-03-27,2025-03-27 20:00:00+00:00,2025-03-27 19:00:00+00:00,87059.54,True
2025-03-28,2025-03-28 20:00:00+00:00,2025-03-28 19:00:00+00:00,83733.93,True
2025-03-31,2025-03-31 20:00:00+00:00,2025-03-31 19:00:00+00:00,82443.85,True
2025-04-01,2025-04-01 20:00:00+00:00,2025-04-01 19:00:00+00:00,84955.25,True
2025-04-02,2025-04-02 20:00:00+00:00,2025-04-02 19:00:00+00:00,86925.98,True
2025-04-03,2025-04-03 20:00:00+00:00,2025-04-03 19:00:00+00:00,81949.14,True
2025-04-04,2025-04-04 20:00:00+00:00,2025-04-04 19:00:00+00:00,83967.63,True
2025-04-07,2025-04-07 20:00:00+00:00,2025-04-07 19:00:00+00:00,78071.42,True
2025-04-08,2025-04-08 20:00:00+00:00,2025-04-08 19:00:00+00:00,76751.4,True
2025-04-09,2025-04-09 20:00:00+00:00,2025-04-09 19:00:00+00:00,82301.16,True
2025-04-10,2025-04-10 20:00:00+00:00,2025-04-10 19:00:00+00:00,79574.75,True
2025-04-11,2025-04-11 20:00:00+00:00,2025-04-11 19:00:00+00:00,83835.8,True
2025-04-14,2025-04-14 20:00:00+00:00,2025-04-14 19:00:00+00:00,84918.89,True
2025-04-15,2025-04-15 20:00:00+00:00,2025-04-15 19:00:00+00:00,83983.6,True
2025-04-16,2025-04-16 20:00:00+00:00,2025-04-16 19:00:00+00:00,84338.62,True
2025-04-17,2025-04-17 20:00:00+00:00,2025-04-17 19:00:00+00:00,84860.31,True
2025-04-21,2025-04-21 20:00:00+00:00,2025-04-21 19:00:00+00:00,87416.85,True
2025-04-22,2025-04-22 20:00:00+00:00,2025-04-22 19:00:00+00:00,91497.04,True
2025-04-23,2025-04-23 20:00:00+00:00,2025-04-23 19:00:00+00:00,93558.79,True
2025-04-24,2025-04-24 20:00:00+00:00,2025-04-24 19:00:00+00:00,93618.4,True
2025-04-25,2025-04-25 20:00:00+00:00,2025-04-25 19:00:00+00:00,95423.14,True
2025-04-28,2025-04-28 20:00:00+00:00,2025-04-28 19:00:00+00:00,94813.63,True
2025-04-29,2025-04-29 20:00:00+00:00,2025-04-29 19:00:00+00:00,95349.42,True
2025-04-30,2025-04-30 20:00:00+00:00,2025-04-30 19:00:00+00:00,94157.42,True
2025-05-01,2025-05-01 20:00:00+00:00,2025-05-01 19:00:00+00:00,96588.48,True
2025-05-02,2025-05-02 20:00:00+00:00,2025-05-02 19:00:00+00:00,96966.7,True
2025-05-05,2025-05-05 20:00:00+00:00,2025-05-05 19:00:00+00:00,94348.18,True
2025-05-06,2025-05-06 20:00:00+00:00,2025-05-06 19:00:00+00:00,94977.68,True
2025-05-07,2025-05-07 20:00:00+00:00,2025-05-07 19:00:00+00:00,96208.29,True
2025-05-08,2025-05-08 20:00:00+00:00,2025-05-08 19:00:00+00:00,101335.87,True
2025-05-09,2025-05-09 20:00:00+00:00,2025-05-09 19:00:00+00:00,103229.28,True
2025-05-12,2025-05-12 20:00:00+00:00,2025-05-12 19:00:00+00:00,101850.92,True
2025-05-13,2025-05-13 20:00:00+00:00,2025-05-13 19:00:00+00:00,104836.64,True
2025-05-14,2025-05-14 20:00:00+00:00,2025-05-14 19:00:00+00:00,103302.0,True
2025-05-15,2025-05-15 20:00:00+00:00,2025-05-15 19:00:00+00:00,103179.6,True
2025-05-16,2025-05-16 20:00:00+00:00,2025-05-16 19:00:00+00:00,104069.32,True
2025-05-19,2025-05-19 20:00:00+00:00,2025-05-19 19:00:00+00:00,105556.13,True
2025-05-20,2025-05-20 20:00:00+00:00,2025-05-20 19:00:00+00:00,107086.17,True
2025-05-21,2025-05-21 20:00:00+00:00,2025-05-21 19:00:00+00:00,108675.07,True
2025-05-22,2025-05-22 20:00:00+00:00,2025-05-22 19:00:00+00:00,111241.94,True
2025-05-23,2025-05-23 20:00:00+00:00,2025-05-23 19:00:00+00:00,108747.25,True
2025-05-27,2025-05-27 20:00:00+00:00,2025-05-27 19:00:00+00:00,109938.56,True
2025-05-28,2025-05-28 20:00:00+00:00,2025-05-28 19:00:00+00:00,106956.19,True
2025-05-29,2025-05-29 20:00:00+00:00,2025-05-29 19:00:00+00:00,105744.47,True
2025-05-30,2025-05-30 20:00:00+00:00,2025-05-30 19:00:00+00:00,104651.99,True
2025-06-02,2025-06-02 20:00:00+00:00,2025-06-02 19:00:00+00:00,104470.22,True
2025-06-03,2025-06-03 20:00:00+00:00,2025-06-03 19:00:00+00:00,106301.7,True
2025-06-04,2025-06-04 20:00:00+00:00,2025-06-04 19:00:00+00:00,104961.64,True
2025-06-05,2025-06-05 20:00:00+00:00,2025-06-05 19:00:00+00:00,101908.77,True
2025-06-06,2025-06-06 20:00:00+00:00,2025-06-06 19:00:00+00:00,104304.24,True
2025-06-09,2025-06-09 20:00:00+00:00,2025-06-09 19:00:00+00:00,108679.24,True
2025-06-10,2025-06-10 20:00:00+00:00,2025-06-10 19:00:00+00:00,109533.92,True
2025-06-11,2025-06-11 20:00:00+00:00,2025-06-11 19:00:00+00:00,108768.9,True
2025-06-12,2025-06-12 20:00:00+00:00,2025-06-12 19:00:00+00:00,106828.55,True
2025-06-13,2025-06-13 20:00:00+00:00,2025-06-13 19:00:00+00:00,105153.75,True
2025-06-16,2025-06-16 20:00:00+00:00,2025-06-16 19:00:00+00:00,108699.51,True
2025-06-17,2025-06-17 20:00:00+00:00,2025-06-17 19:00:00+00:00,104705.02,True
2025-06-18,2025-06-18 20:00:00+00:00,2025-06-18 19:00:00+00:00,103818.67,True
2025-06-20,2025-06-20 20:00:00+00:00,2025-06-20 19:00:00+00:00,103326.33,True
